Case #,Account,General Issue,Specific Complaint,Open Date,Close Date,Zip,Borough,City,Council Dist.,Comm. Bd.
504462,NYCC15,Housing and Buildings,,1/2/2015,,10458,,Bronx,NYCC,
504463,NYCC15,Housing and Buildings,,1/2/2015,,10457,Bronx,Bronx,NYCC15,5
504464,NYCC15,General Welfare,,1/4/2015,,12345,,Wisconsin,,
504468,NYCC15,General Welfare,Domestic Violence,1/5/2015,1/20/2015,10451,Bronx,Bronx,NYCC17,1
504466,NYCC15,Housing and Buildings,Landlord/Managing Agent Issues,1/5/2015,1/16/2015,10467,Bronx,Bronx,NYCC12,12
504467,NYCC15,Housing and Buildings,Landlord/Managing Agent Issues,1/5/2015,2/9/2015,,,,,
504470,NYCC15,General Welfare,Public Assistance,1/6/2015,1/16/2015,10458,Bronx,Bronx,NYCC15,6
504469,NYCC15,Housing and Buildings,,1/6/2015,,10465,,Bx,,
504472,NYCC15,Housing and Buildings,,1/6/2015,,10024,Manhattan,New York,NYCC06,7
504471,NYCC15,Immigration,U.S. Citizenship,1/6/2015,1/6/2015,,,,NYCC,
504474,NYCC15,Housing and Buildings,Rental Arrears,1/7/2015,4/6/2015,10458,Bronx,Bronx,NYCC15,6
504473,NYCC15,Immigration,,1/7/2015,,10453,Bronx,Bronx,NYCC14,5
504477,NYCC15,Housing and Buildings,,1/8/2015,,10460,Bronx,Bronx,NYCC15,6
504476,NYCC15,Transportation,Metrocard: Reduced Fare,1/8/2015,1/20/2015,10467,Bronx,Bronx,NYCC15,11
504478,NYCC15,Aging,Medicare and Medicare Part D,1/9/2015,8/10/2015,10460,Bronx,Bronx,NYCC15,6
504479,NYCC15,Consumer Affairs,,1/10/2015,,10460,Bronx,Bronx,NYCC15,6
504481,NYCC15,Consumer Affairs,,1/10/2015,,10460,Bronx,Bronx,NYCC15,6
504482,NYCC15,Consumer Affairs,,1/10/2015,,10460,Bronx,Bronx,NYCC15,6
504480,NYCC15,Health,,1/10/2015,,10460,Bronx,Bronx,NYCC15,6
504483,NYCC15,Housing and Buildings,,1/10/2015,,10460,Bronx,Bronx,NYCC15,6
504484,NYCC15,Other,,1/11/2015,,10012,Manhattan,New York,NYCC01,2
504486,NYCC15,Consumer Affairs,False Advertising,1/12/2015,1/12/2015,,,,,
504487,NYCC15,Housing and Buildings,Eviction,1/12/2015,1/12/2015,,,,,
504485,NYCC15,Housing and Buildings,,1/12/2015,,10453,Bronx,Bronx,NYCC14,7
504488,NYCC15,Housing and Buildings,NYCHA Building Maintenance,1/13/2015,1/13/2015,,,,,
504491,NYCC15,General Welfare,Food Stamps,1/14/2015,4/2/2015,10458,Bronx,Bronx,NYCC15,7
504492,NYCC15,General Welfare,Medicaid,1/14/2015,1/14/2015,10467,Bronx,Bronx,NYCC15,11
504490,NYCC15,General Welfare,Public Assistance,1/14/2015,1/20/2015,10458,Bronx,Bronx,NYCC15,7
504493,NYCC15,Governmental Operations,,1/14/2015,,11233,Brooklyn,Brooklyn,NYCC36,3
504489,NYCC15,Housing and Buildings,NYCHA New Application,1/14/2015,2/6/2015,,,,,
506324,NYCC15,Transportation,Pot Holes,1/14/2015,1/5/2016,,,Bronx,,
504496,NYCC15,General Welfare,Public Assistance,1/15/2015,2/17/2015,10451,Bronx,Bronx,NYCC17,1
504499,NYCC15,General Welfare,Public Assistance,1/15/2015,4/3/2015,10457,Bronx,Bronx,NYCC15,5
504495,NYCC15,Governmental Operations,Voting Information,1/15/2015,1/15/2015,10458,Bronx,Bronx,NYCC15,6
504497,NYCC15,Immigration,Green Card,1/15/2015,1/15/2015,10457,Bronx,Bronx,NYCC15,5
504498,NYCC15,Immigration,Literary Services for Immigrants,1/15/2015,1/15/2015,10458,Bronx,Bronx,NYCC15,5
504500,NYCC15,Immigration,Literary Services for Immigrants,1/15/2015,2/17/2015,10458,Bronx,Bronx,NYCC15,7
504494,NYCC15,Transportation,,1/15/2015,1/15/2015,10460,Bronx,Bronx,NYCC15,6
504505,NYCC15,Housing and Buildings,Heat/Hot Water,1/16/2015,1/22/2015,10467,Bronx,Bronx,NYCC15,11
504506,NYCC15,Housing and Buildings,Heat/Hot Water,1/16/2015,1/22/2015,10467,Bronx,Bronx,NYCC15,11
504507,NYCC15,Housing and Buildings,Rental Arrears,1/16/2015,4/6/2015,10468,Bronx,Bronx,NYCC14,7
504513,NYCC15,Aging,Senior Centers,1/20/2015,1/20/2015,,,,,
504515,NYCC15,Finance,DRIE,1/20/2015,1/20/2015,10467,Bronx,Bronx,NYCC15,11
504512,NYCC15,Finance,Tax Preparation Assi,1/20/2015,1/20/2015,10465,Bronx,Bronx,NYCC13,10
504514,NYCC15,Finance,Tax Preparation Assi,1/20/2015,1/20/2015,10009,Manhattan,New York,NYCC02,3
504510,NYCC15,Housing and Buildings,Eviction,1/20/2015,1/20/2015,,,,,
504508,NYCC15,Housing and Buildings,NYCHA Building Maintenance,1/20/2015,1/20/2015,10458,Bronx,unknown,NYCC15,
504568,NYCC15,Housing and Buildings,Seeking an affordable housing/apartment,1/20/2015,1/26/2015,,,,,
504569,NYCC15,Immigration,U.S. Citizenship,1/20/2015,1/26/2015,10458,,bronx,,
504516,NYCC15,Immigration,U.S. Citizenship,1/20/2015,1/20/2015,10457,Bronx,Bronx,NYCC15,5
504511,NYCC15,Transportation,Parking Permits,1/20/2015,12/15/2015,10457,Bronx,Bronx,NYCC15,6
504517,NYCC15,Transportation,Speed Bump Request,1/20/2015,12/2/2015,10467,Bronx,Bronx,NYCC15,11
504519,NYCC15,Transportation,Speed Bump Request,1/20/2015,2/18/2015,10467,Bronx,Bronx,NYCC15,11
504567,NYCC15,Finance,Tax Preparation Assi,1/21/2015,1/26/2015,,,,,
504566,NYCC15,General Welfare,Child Support,1/21/2015,1/26/2015,,,,,
504523,NYCC15,General Welfare,Child Support,1/21/2015,1/22/2015,10458,Bronx,Bronx,NYCC15,6
504565,NYCC15,Immigration,DACA - Deferred Action for Childhood Arrivals,1/21/2015,1/26/2015,10458,,,,
504522,NYCC15,Immigration,Legal Services for Immigrants,1/21/2015,1/21/2015,10458,,,,
504521,NYCC15,Youth Services,,1/21/2015,,10457,Bronx,Bronx,NYCC15,6
504527,NYCC15,Finance,Tax Preparation Assi,1/22/2015,1/22/2015,10458,Bronx,Bronx,NYCC15,6
504528,NYCC15,Finance,Tax Preparation Assi,1/22/2015,1/22/2015,,,,,
504533,NYCC15,Finance,Tax Preparation Assi,1/22/2015,1/22/2015,10466,Bronx,Bronx,NYCC12,12
504540,NYCC15,Housing and Buildings,Eviction,1/22/2015,2/17/2015,10456,Bronx,Bronx,NYCC16,3
504532,NYCC15,Housing and Buildings,Landlord/Managing Agent Issues,1/22/2015,1/22/2015,10467,Bronx,Bronx,NYCC15,11
504534,NYCC15,Housing and Buildings,Landlord/Managing Agent Issues,1/22/2015,1/22/2015,,,,,
504537,NYCC15,Housing and Buildings,Public Assistance,1/22/2015,2/17/2015,10467,Bronx,Bronx,NYCC15,12
504529,NYCC15,Housing and Buildings,Rent Overcharges,1/22/2015,1/22/2015,,,,,
504531,NYCC15,Housing and Buildings,Seeking an affordable housing/apartment,1/22/2015,1/22/2015,10457,Bronx,Bronx,NYCC15,6
504536,NYCC15,Housing and Buildings,Seeking an affordable housing/apartment,1/22/2015,1/22/2015,10468,Bronx,Bronx,NYCC14,7
504539,NYCC15,Housing and Buildings,Seeking an affordable housing/apartment,1/22/2015,1/22/2015,10458,Bronx,Bronx,NYCC15,7
504538,NYCC15,Immigration,Green Card,1/22/2015,1/22/2015,10457,Bronx,Bronx,NYCC15,6
504530,NYCC15,Immigration,Legal Services for Immigrants,1/22/2015,1/22/2015,10457,Bronx,Bronx,NYCC15,6
504524,NYCC15,Immigration,U.S. Citizenship,1/22/2015,1/22/2015,,,,,
504525,NYCC15,Immigration,U.S. Citizenship,1/22/2015,1/22/2015,,,,,
504535,NYCC15,Immigration,U.S. Citizenship,1/22/2015,1/22/2015,10467,Bronx,Bronx,NYCC11,7
504526,NYCC15,Other,,1/22/2015,,10474,Bronx,Bronx,NYCC17,2
504541,NYCC15,Quality of Life,Noise - Residential,1/22/2015,1/13/2016,10458,Bronx,Bronx,NYCC15,6
504546,NYCC15,Finance,Tax Preparation Assi,1/23/2015,1/23/2015,10458,Bronx,Bronx,NYCC15,7
504547,NYCC15,Finance,Tax Preparation Assi,1/23/2015,1/23/2015,,,,,
504558,NYCC15,Finance,Tax Preparation Assi,1/23/2015,1/26/2015,10458,Bronx,Bronx,NYCC15,7
504552,NYCC15,General Welfare,Child Support,1/23/2015,1/23/2015,10458,Bronx,Bronx,NYCC15,6
504550,NYCC15,General Welfare,Public Assistance,1/23/2015,1/23/2015,10458,Bronx,Bronx,NYCC15,7
504554,NYCC15,Health,Hospital Facility or Clinic,1/23/2015,2/12/2015,10457,Bronx,Bronx,NYCC15,6
504557,NYCC15,Health,Hospital Facility or Clinic,1/23/2015,2/9/2015,10458,Bronx,Bronx,NYCC15,6
504542,NYCC15,Housing and Buildings,NYCHA Building Maintenance,1/23/2015,2/26/2015,,,,,
504548,NYCC15,Housing and Buildings,NYCHA Building Maintenance,1/23/2015,2/26/2015,,,,,
